Target,Accessions,Compounds
von Hippel-Lindau disease tumor suppressor/Aryl hydrocarbon receptor,P35869|P40337,1
Protein cereblon/Aryl hydrocarbon receptor,P35869|Q96SW2,1
Monocarboxylate transporter 8,P36021,1
ADP-ribosylation factor-like protein 2,P36404,1
V-type proton ATPase subunit E 1,P36543,1
Tumor necrosis factor receptor superfamily member 3,P36941,1
Pigment epithelium-derived factor,P36955,1
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",P36957,1
Hippocalcin-like protein 1,P37235,1
"RNA-binding motif protein, X chromosome",P38159,1
Coilin,P38432,1
AKT/p21CIP1,P38936|P31749,1
Macrophage-capping protein,P40121,1
Alpha-taxilin,P40222,1
B-cell antigen receptor complex-associated protein beta chain,P40259,1
von Hippel-Lindau disease tumor suppressor/Agrin,P40337|O00468,1
von Hippel-Lindau disease tumor suppressor/T-box transcription factor T,P40337|O15178,1
von Hippel-Lindau disease tumor suppressor/Barrier-to-autointegration factor,P40337|O75531,1
von Hippel-Lindau disease tumor suppressor/Lysine-specific demethylase 4B,P40337|O94953,1
von Hippel-Lindau disease tumor suppressor/B-cell lymphoma 6 protein,P40337|P41182,1
von Hippel-Lindau disease tumor suppressor/Son of sevenless homolog 2,P40337|Q07890,1
von Hippel-Lindau disease tumor suppressor/DNA-binding protein Ikaros,P40337|Q13422,1
von Hippel-Lindau disease tumor suppressor/LON peptidase N-terminal domain and RING finger protein 2,P40337|Q1L5Z9,1
von Hippel-Lindau disease tumor suppressor/Mitogen-activated protein kinase kinase kinase 21,P40337|Q5TCX8,1
von Hippel-Lindau disease tumor suppressor/N-terminal Xaa-Pro-Lys N-methyltransferase 2,P40337|Q5VVY1,1
von Hippel-Lindau disease tumor suppressor/Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,P40337|Q6NYC1,1
von Hippel-Lindau disease tumor suppressor/Cullin-9,P40337|Q8IWT3,1
von Hippel-Lindau disease tumor suppressor/Leukocyte receptor cluster member 8,P40337|Q96PV6,1
von Hippel-Lindau disease tumor suppressor/WW domain-containing transcription regulator protein 1,P40337|Q9GZV5,1
Large ribosomal subunit protein uL13,P40429,1
PTPN9/STAT3,P40763|P43378,1
Protein cereblon/Ubiquitin carboxyl-terminal hydrolase 8,P40818|Q96SW2,1
F-box-like/WD repeat-containing protein TBL1XR1/B-cell lymphoma 6 protein,P41182|Q9BZK7,1
Ubiquitin-like modifier-activating enzyme 7,P41226,1
Protein cereblon/Lysine-specific demethylase 5C,P41229|Q96SW2,1
Vasoactive intestinal peptide receptor,P41587|P32241|P41586,1
"Lamina-associated polypeptide 2, isoforms beta/gamma",P42167,1
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase ABL2,P42684|P40337,1
Probable helicase with zinc finger domain,P42694,1
Condensin-2 complex subunit D3,P42695,1
Interleukin-12 receptor subunit beta-1,P42701,1
"3-ketoacyl-CoA thiolase, mitochondrial",P42765,1
Chemokine XC receptor 1,P46094,1
5-hydroxytryptamine receptor 3A/3E,P46098|A5X5Y0,1
5-hydroxytryptamine receptor 3A/3C,P46098|Q8WXA8,1
Large proline-rich protein BAG6,P46379,1
Glutathione S-transferase Mu 5,P46439,1
Lys-63-specific deubiquitinase BRCC36,P46736,1
Glucosamine-6-phosphate deaminase 1,P46926,1
