Target,Accessions
E3 ubiquitin-protein ligase SHPRH,Q149N8
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,Q96GM5
General transcription factor 3C polypeptide 4,Q9UKN8
Hemoglobin subunit gamma-2,P69892
2-hydroxyacyl-CoA lyase 2,A1L0T0
Vesicular integral-membrane protein VIP36,Q12907
Leupaxin,O60711
Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial,P29803
Sister chromatid cohesion protein PDS5 homolog B,Q9NTI5
Regulator of chromosome condensation,P18754
Unconventional myosin-Ib,O43795
CDC42/Intersectin-1,P60953|Q15811
Proteolipid protein 2,Q04941
von Hippel-Lindau disease tumor suppressor/Mitogen-activated protein kinase kinase kinase 9,P80192|P40337
Vesicle transport protein GOT1B,Q9Y3E0
HIG1 domain family member 1A, mitochondrial,Q9Y241
Voltage-gated hydrogen channel 1,Q96D96
Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial,O43837
Protein ERGIC-53,P49257
Protein canopy homolog 3,Q9BT09
Drebrin,Q16643
Small ribosomal subunit protein uS2m,Q9Y399
Small ribosomal subunit protein uS11,P62263
F-box only protein 22,Q8NEZ5
UDP-galactose translocator,P78381
Probable ATP-dependent RNA helicase DDX10,Q13206
DDRGK domain-containing protein 1,Q96HY6
DnaJ homolog subfamily B member 11,Q9UBS4
DNA methyltransferase 1-associated protein 1,Q9NPF5
Dedicator of cytokinesis protein 11,Q5JSL3
HLA class I histocompatibility antigen, B alpha chain,P01889
Peroxisomal biogenesis factor 3,P56589
Sorting nexin-2,O60749
Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial,Q16836
Sorcin,P30626
Fumarate hydratase, mitochondrial,P07954
General transcription factor 3C polypeptide 3,Q9Y5Q9
Target of rapamycin complex subunit LST8,Q9BVC4
Annexin A9,O76027
Olfactory receptor 10J3,Q5JRS4
Methylsterol monooxygenase 1,Q15800
Protein S100-A10,P60903
Nuclear RNA export factor 1,Q9UBU9
Golgi resident protein GCP60,Q9H3P7
Atypical chemokine receptor 1,Q16570
Dual specificity protein phosphatase 14,O95147
Dehydrogenase/reductase SDR family member 6,Q9BUT1
Protein cereblon/Interleukin-1 receptor-associated kinase 1,P51617|Q96SW2
von Hippel-Lindau disease tumor suppressor/Fibroblast growth factor receptor 2,P21802|P40337
Serine/threonine-protein kinase Rac alpha/beta,P31751|P31749
Cytosolic iron-sulfur assembly component 2A,Q9H5X1
Clustered mitochondria protein homolog,O75153
TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,Q9NYJ8
Heterogeneous nuclear ribonucleoprotein H2,P55795
Polypeptide N-acetylgalactosaminyltransferase 3,Q14435
Forkhead box protein C2,Q99958
U4/U6 small nuclear ribonucleoprotein Prp3,O43395
Histone H2A type 1-D,P20671
Glucosidase 2 subunit beta,P14314
Proteasome subunit alpha type-2,P25787
M-phase phosphoprotein 6,Q99547
Protein cereblon/Desmoplakin,Q96SW2|P15924
JNK2/JNK3,P53779|P45984
Large conductance calcium-activated potassium channel subfamily M beta member 1,Q16558
Deubiquitinating protein VCPIP1,Q96JH7
FYVE, RhoGEF and PH domain-containing protein 1,P98174
Gamma-aminobutyric acid receptor subunit alpha-3/ beta-3/gamma-3,P28472|Q99928|P34903
Sideroflexin-3,Q9BWM7
Zinc transporter 6,Q6NXT4
E3 ubiquitin-protein ligase RNF31,Q96EP0
Serine/arginine repetitive matrix protein 2,Q9UQ35
Pyridoxal phosphate homeostasis protein,O94903
Nuclear factor related to kappa-B-binding protein,Q6P4R8
RNA-binding motif protein, X chromosome,P38159
Tuftelin-interacting protein 11,Q9UBB9
Chromodomain-helicase-DNA-binding protein 8,Q9HCK8
Centrosomal protein 43/RET,P07949|O95684
Splicing factor 3B subunit 6,Q9Y3B4
Male-specific lethal 1 homolog,Q68DK7
Cullin-2,Q13617
Acyl-CoA-binding protein,P07108
BCL2A11/BBC3,Q16548|Q9BXH1
DnaJ homolog subfamily C member 13,O75165
Cytosolic carboxypeptidase 6,Q5VU57
Malonate--CoA ligase ACSF3, mitochondrial,Q4G176
Septin-5,Q99719
Ferroptosis suppressor protein 1,Q9BRQ8
Hexokinase-3,P52790
Transducin beta-like protein 2,Q9Y4P3
Integrin alpha-5/beta-6/beta-8,P08648|P18564|P26012
Synaptosomal-associated protein 29,O95721
Protein canopy homolog 2,Q9Y2B0
H/ACA ribonucleoprotein complex subunit 1,Q9NY12
Gamma-glutamylcyclotransferase,O75223
DNA ligase 4,P49917
Voltage-dependent R-type calcium channel subunit alpha-1E,Q15878
Collagen alpha-2(I) chain,P08123
Protein cereblon/Kunitz-type protease inhibitor 1,Q96SW2|O43278
Copper-transporting ATPase 1,Q04656
Proline-rich protein 12,Q9ULL5
SAGA-associated factor 29,Q96ES7
Gamma-aminobutyric acid receptor subunit alpha-1/gamma-2,P14867|P18507
Hepatocyte nuclear factor 1-alpha,P20823
Calcium homeostasis endoplasmic reticulum protein,Q8IWX8
Mediator of RNA polymerase II transcription subunit 16,Q9Y2X0
Calcineurin B homologous protein 1,Q99653
Coronin-1C,Q9ULV4
von Hippel-Lindau disease tumor suppressor/Serine-protein kinase ATM,Q13315|P40337
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial,P36957
Protein cereblon/Histone-lysine N-methyltransferase PRDM16,Q96SW2|Q9HAZ2
ETS translocation variant 1,P50549
Exocyst complex component 3,O60645
Tubulin beta-8 chain,Q3ZCM7
Alpha-taxilin,P40222
Kinesin-like protein KIF27,Q86VH2
PHD finger-like domain-containing protein 5A,Q7RTV0
Histone H1.3,P16402
Nucleolar transcription factor 1,P17480
Importin subunit alpha-5,P52294
Actin-like protein 8,Q9H568
Dachshund homolog 1,Q9UI36
Histone H3.3,P84243
Schlafen family member 11,Q7Z7L1
Regulation of nuclear pre-mRNA domain-containing protein 2,Q5VT52
Filaggrin-2,Q5D862
MAP7 domain-containing protein 3,Q8IWC1
Thyrotropin-releasing hormone-degrading ectoenzyme,Q9UKU6
CDK2/Cyclin-Y,P24941|Q8ND76
PTPN9/STAT3,P40763|P43378
Beta-2-microglobulin,P61769
Calcium-transporting ATPase type 2C member 1,P98194
Signal peptidase complex subunit 3,P61009
Etoposide-induced protein 2.4 homolog,O14681
ER membrane protein complex subunit 2,Q15006
Macoilin,Q8N5G2
Large subunit GTPase 1 homolog,Q9H089
UTP--glucose-1-phosphate uridylyltransferase,Q16851
Protein cereblon/Retinoblastoma-associated protein,P06400|Q96SW2
RAC-alpha serine/threonine-protein kinase/Ribosomal protein S6 kinase beta-1,P23443|P31749
Protein cereblon/Importin subunit alpha-1,P52292|Q96SW2
Protein cereblon/Mesoderm induction early response protein 1,Q96SW2|Q8N108
Protein cereblon/Proto-oncogene tyrosine-protein kinase receptor Ret/Kinesin-1 heavy chain,P07949|P33176|Q96SW2
Protein S100-A2,P29034
Adiponectin receptor protein 1,Q96A54
Protein cereblon/Tyrosine-protein phosphatase non-receptor type 6,P29350|Q96SW2
Kelch-like ECH-associated protein 1/Bromodomain-containing protein 4,O60885|Q14145
von Hippel-Lindau disease tumor suppressor/Estrogen-related receptor gamma,P62508|P40337
Glyoxalase domain-containing protein 4,Q9HC38
Protein cereblon/NAD-dependent protein deacylase sirtuin-5, mitochondrial,Q9NXA8|Q96SW2
Cyclin-C,P24863
MOB kinase activator 1B,Q7L9L4
Myosin regulatory light chain 12B,O14950
Early endosome antigen 1,Q15075
Endoplasmic reticulum-Golgi intermediate compartment protein 1,Q969X5
Protein cereblon/Cyclin-dependent kinase 19,Q9BWU1|Q96SW2
UBX domain-containing protein 4,Q92575
Exportin-6,Q96QU8
Zinc finger protein 3 homolog,Q96NJ6
Aldo-keto reductase family 1 member D1,P51857
Calcium-binding and coiled-coil domain-containing protein 2,Q13137
Tight junction protein 1,Q07157
CCAAT/enhancer-binding protein zeta,Q03701
von Hippel-Lindau disease tumor suppressor/Receptor tyrosine-protein kinase erbB-2,P04626|P40337
Large neutral amino acids transporter small subunit 2,Q9UHI5
Putative annexin A2-like protein,A6NMY6
Immunity-related GTPase family M protein,A1A4Y4
PR domain zinc finger protein 10,Q9NQV6
PR domain zinc finger protein 13,Q9H4Q3
von Hippel-Lindau disease tumor suppressor/LON peptidase N-terminal domain and RING finger protein 2,P40337|Q1L5Z9
Uncharacterized protein CSNK1G2-AS1,Q8NCQ2
Kita-kyushu lung cancer antigen 1,Q5H943
Histidine decarboxylase,P19113
Beta/gamma crystallin domain-containing protein 1,Q9Y4K1
Kinesin-like protein KIF18B,Q86Y91
Phosphoserine phosphatase,P78330
Pumilio homolog 1,Q14671
Mitochondrial-processing peptidase subunit alpha,Q10713
Promotilin,P12872
NADH-ubiquinone oxidoreductase B17 subunit,O95139
Ribosome biogenesis protein BRX1 homolog,Q8TDN6
RNA transcription, translation and transport factor protein,Q9Y224
Cytochrome c oxidase assembly protein COX14,Q96I36
Mitotic deacetylase-associated SANT domain protein,Q6PJG2
Putative protein-lysine deacylase ABHD14B,Q96IU4
Vesicle-associated membrane protein-associated protein A,Q9P0L0
Partner of Y14 and mago,Q9BRP8
Calcium uniporter protein, mitochondrial,Q8NE86
Importin-11,Q9UI26
Sodium/hydrogen exchanger 9B2,Q86UD5
Protein cereblon/RAC-gamma serine/threonine-protein kinase,Q9Y243|Q96SW2
Aprataxin,Q7Z2E3
Ceramide synthase 4,Q9HA82
Kinesin-like protein KIF1B,O60333
Chemokine XC receptor 1,P46094
TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,Q8N5C8
DnaJ homolog subfamily B member 6,O75190
Gelsolin,P06396
Serine/threonine-protein kinase N1/Transforming protein RhoA,Q16512|P61586
Neuronal acetylcholine receptor subunit alpha-10,Q9GZZ6
Pre-mRNA 3'-end-processing factor FIP1,Q6UN15
Ubiquitin carboxyl-terminal hydrolase 17-like protein 24,Q0WX57
LIG4/XRCC4,P49917|Q13426
26S proteasome non-ATPase regulatory subunit 6,Q15008
RNA-binding protein 26,Q5T8P6
Raftlin,Q14699
Replication protein A 14 kDa subunit,P35244
BLOC-2 complex member HPS6,Q86YV9
Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing],Q9NUI1
Cytosolic non-specific dipeptidase,Q96KP4
Macrophage-capping protein,P40121
Talin-1,Q9Y490
Thymosin beta-10,P63313
tRNA (guanine(26)-N(2))-dimethyltransferase,Q9NXH9
Nck-associated protein 1,Q9Y2A7
Oxysterol-binding protein-related protein 3,Q9H4L5
Peptidyl-prolyl cis-trans isomerase E,Q9UNP9
OCIA domain-containing protein 2,Q56VL3
Spliceosome associated factor 3, U4/U6 recycling protein,Q15020
DNA-directed RNA polymerases I, II, and III subunit RPABC3,P52434
Myosin light chain 4,P12829
Acyl carrier protein, mitochondrial,O14561
DNA excision repair protein ERCC-6-like,Q2NKX8
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase transmembrane receptor ROR2,Q01974|P40337
Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial,Q96RQ3
Protein SON,P18583
ALK-KLC1,Q9UM73|Q07866
Histone-lysine N-methyltransferase PRDM16,Q9HAZ2
2-oxoisovalerate dehydrogenase subunit beta, mitochondrial,P21953
B-cell differentiation antigen CD72,P21854
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,Q9NUQ2
Protein cereblon/Histone deacetylase 9,Q9UKV0|Q96SW2
Protein cereblon/Programmed cell death protein 2,Q96SW2|Q16342
Glycerol-3-phosphate phosphatase,A6NDG6
GTPase Era, mitochondrial,O75616
Cell growth-regulating nucleolar protein,Q9NX58
Small ribosomal subunit protein mS40,Q9Y676
Parathymosin,P20962
Voltage-gated potassium channel subunit beta-2,Q13303
Coiled-coil domain-containing protein 43,Q86WV7
Far upstream element-binding protein 3,Q96I24
Thioredoxin reductase 3,Q86VQ6
Protein phosphatase 1 regulatory subunit 7,Q15435
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,Q14738
Corrinoid adenosyltransferase MMAB,Q96EY8
Small ribosomal subunit protein uS3m,Q96EL2
Protein cereblon/Agrin,Q96SW2|O00468
Mitochondrial import inner membrane translocase subunit Tim10,P62072
Thymosin beta-4,P62328
von Hippel-Lindau disease tumor suppressor/Agrin,P40337|O00468
von Hippel-Lindau disease tumor suppressor/Aurora kinase A,O14965|P40337
RNA-binding protein 15,Q96T37
PEST proteolytic signal-containing nuclear protein,Q8WW12
Protein cereblon/Lysine-specific demethylase 5C,P41229|Q96SW2
3-mercaptopyruvate sulfurtransferase,P25325
Omega-amidase NIT2,Q9NQR4
FUN14 domain-containing protein 1,Q8IVP5
Keratin, type II cytoskeletal 4,P19013
NF-kappa-B inhibitor epsilon,O00221
Zinc finger MYND domain-containing protein 11,Q15326
Insulin-induced gene 1 protein,O15503
Kelch-like ECH-associated protein 1/Cyclin-dependent kinase 9,P50750|Q14145
Protein cereblon/Contactin-associated protein-like 4,Q96SW2|Q9C0A0
Inhibin alpha chain,P05111
Interleukin-36 gamma,Q9NZH8
Protein cereblon/Cyclin-G-associated kinase,O14976|Q96SW2
von Hippel-Lindau disease tumor suppressor/Lysine-specific demethylase 4B,P40337|O94953
Polyubiquitin-C,P0CG48
Keratin, type II cuticular Hb1,Q14533
von Hippel-Lindau disease tumor suppressor/Lysine-specific demethylase 4C,Q9H3R0|P40337
Adenosine receptor A1/Alpha-2A adrenergic receptor,P30542|P08913
Axin1/beta-catenin,P35222|O15169
Lysine-specific demethylase 7A/7B,Q9UPP1|Q6ZMT4
Gamma-aminobutyric acid receptor subunit delta,O14764
COP9 signalosome complex subunit 7b,Q9H9Q2
Ubiquitin-ribosomal protein eL40 fusion protein,P62987
Glycerol-3-phosphate acyltransferase 4,Q86UL3
Protein cereblon/Mast/stem cell growth factor receptor Kit,P10721|Q96SW2
Protein cereblon/Platelet-derived growth factor receptor alpha,P16234|Q96SW2
Relaxin-3 receptor 1/2,Q9NSD7|Q8TDU9
B-cell CLL/lymphoma 7 protein family member B,Q9BQE9
Testis-expressed protein 30,Q5JUR7
Serine-protein kinase ATM/ATR,Q13315|Q13535
Gamma-aminobutyric acid receptor subunit alpha-5/beta-3/gamma-3,P28472|Q99928|P31644
Linker for activation of T-cells family member 1,O43561
Protein XNDC1N,Q6ZNB5
Bcl-2 homologous antagonist/killer,Q16611
Myoneurin,Q9NPC7
Protein archease,Q8IWT0
CASP8 and FADD-like apoptosis regulator,O15519
Complement C2,P06681
Cyclin-dependent kinase inhibitor 1B/S-phase kinase-associated protein 2,Q13309|P46527
Gamma-parvin,Q9HBI0
SHC-transforming protein 2,P98077
EWS-Fli1 protein,Q16198
Integrin alpha-11,Q9UKX5
Apoptosis regulator BAX/Bcl-2,P10415|Q07812
Cytosolic iron-sulfur assembly component 2B,Q9Y3D0
Vitronectin,P04004
Melanocortin receptor 3/5,P33032|P41968
Sodium/potassium/calcium exchanger 2,Q9UI40
Calcium-independent phospholipase A2-gamma,Q9NP80
Acyl-coenzyme A thioesterase 2, mitochondrial,P49753
Endonuclease G, mitochondrial,Q14249
Rhombotin-2,P25791
Cyclin-O,P22674
Glutathione S-transferase Mu 4,Q03013
Arylsulfatase G,Q96EG1
Kelch-like ECH-associated protein 1/Microtubule-associated protein tau,P10636|Q14145
ADP-ribose glycohydrolase OARD1,Q9Y530
Nuclear receptor-binding factor 2,Q96F24
Histone H2B type 2-F,Q5QNW6
Paired box protein Pax-2,Q02962
Ras-related protein Rap-2c,Q9Y3L5
Cyclin-dependent kinase 11A/B,Q9UQ88|P21127
Large ribosomal subunit protein eL18,Q07020
Large ribosomal subunit protein eL6,Q02878
Kinesin-like protein KIF3A,Q9Y496
FAST kinase domain-containing protein 5, mitochondrial,Q7L8L6
Myeloid leukemia factor 2,Q15773
Adenylyltransferase and sulfurtransferase MOCS3,O95396
Tensin-3,Q68CZ2
Contactin-1,Q12860
Glutathione S-transferase Mu 5,P46439
Translocating chain-associated membrane protein 1,Q15629
Microtubule-associated protein 1 light chain 3 beta/Cyclin-dependent kinase 2/Cyclin-A2,P24941|P20248|Q9GZQ8
Large ribosomal subunit protein mL37,Q9BZE1
Large ribosomal subunit protein eL43,P61513
von Hippel-Lindau disease tumor suppressor/B-cell lymphoma 6 protein,P40337|P41182
Cell division cycle protein 16 homolog,Q13042
Adenylosuccinate lyase,P30566
Abasic site processing protein HMCES,Q96FZ2
CGG triplet repeat-binding protein 1,Q9UFW8
SAP domain-containing ribonucleoprotein,P82979
Alpha-actinin-1,P12814
Transmembrane protein 70, mitochondrial,Q9BUB7
Dual specificity protein kinase CLK1/CLK2,P49759|P49760
Solute carrier family 22 member 18,Q96BI1
von Hippel-Lindau disease tumor suppressor/N-terminal Xaa-Pro-Lys N-methyltransferase 2,P40337|Q5VVY1
A-kinase anchor protein 12,Q02952
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase ABL2,P42684|P40337
Protein cereblon/Transcriptional enhancer factor TEF-3,Q96SW2|Q15561
Zinc finger Ran-binding domain-containing protein 2,O95218
Structural maintenance of chromosomes flexible hinge domain-containing protein 1,A6NHR9
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 1/Lysine-specific histone demethylase 1A/REST corepressor 1,Q13547|O60341|P40337|Q9UKL0
NEK kinase,P51955|Q9HC98|Q8TDX7|Q6P3R8|Q8TD19|Q8NG66|P51956|P51957|Q96PY6|Q86SG6|Q6ZWH5
High mobility group protein B3,O15347
Cellular tumor antigen p53/Replication protein A 70 kDa DNA-binding subunit,P04637|P27694
TATA box-binding protein-associated factor RNA polymerase I subunit A,Q15573
Unconventional myosin-XV,Q9UKN7
La-related protein 6,Q9BRS8
von Hippel-Lindau disease tumor suppressor/WW domain-containing transcription regulator protein 1,P40337|Q9GZV5
Integrin beta-3,P05106
Heme A synthase COX15,Q7KZN9
X antigen family member 1,Q9HD64
Eukaryotic translation initiation factor 5A-1,P63241
CDK5/Cyclin D3,Q00535|P30281
Hsp70-binding protein 1,Q9NZL4
Parafibromin,Q6P1J9
Acyl-coenzyme A thioesterase 1,Q86TX2
Interleukin-12 receptor subunit beta-1,P42701
Tumor necrosis factor alpha-induced protein 3,P21580
FASN/HER2,P04626|P49327
Androgen receptor/PELP1,P10275|Q8IZL8
von Hippel-Lindau disease tumor suppressor/Steroid hormone receptor ERR2,O95718|P40337
Glycerol-3-phosphate acyltransferase 3,Q53EU6
Protein cereblon/3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035|Q96SW2
B-cell CLL/lymphoma 7 protein family member A,Q4VC05
von Hippel-Lindau disease tumor suppressor/Transmembrane protease serine 2,O15393|P40337
Amidophosphoribosyltransferase,Q06203
Triggering receptor expressed on myeloid cells 1,Q9NP99
Interleukin-2 receptor subunit beta,P14784
Solute carrier family 12 member 3,P55017
Aminopeptidase,P15144|P55786|Q9H4A4|P53582|Q9UIQ6|Q9ULA0|Q07075|Q9NQW7|P28838|P50579|O43895|Q6P179|Q9NZ08|Q6Q4G3|Q8N6M6|Q6UB28|Q8NDH3|Q9HAU8|Q9NQH7
Inhibin beta A chain,P08476
Neural cell adhesion molecule 1,P13591
von Hippel-Lindau disease tumor suppressor/Proto-oncogene tyrosine-protein kinase ROS,P08922|P40337
Interleukin-18,Q14116
5-hydroxytryptamine receptor 3A/3C,P46098|Q8WXA8
Arginine/serine-rich protein PNISR,Q8TF01
Chromodomain-helicase-DNA-binding protein 9,Q3L8U1
JAK2/JAK3,P52333|O60674
AKT/p21CIP1,P38936|P31749
43 kDa receptor-associated protein of the synapse,Q13702
von Hippel-Lindau disease tumor suppressor/Progesterone receptor,P06401|P40337
Protein cereblon/Laminin subunit beta-1,P07942|Q96SW2
Protein cereblon/Pleckstrin homology-like domain family B member 1,Q96SW2|Q86UU1
Importin subunit alpha-7,O60684
Leukocyte antigen CD37,P11049
LC3/Kinesin-like protein KIF11,P52732|Q9BXW4|Q9GZQ8|Q9H492
Creatine kinase U-type, mitochondrial,P12532
Double-stranded RNA-specific editase 1,P78563
Transcription initiation factor TFIID subunit 5,Q15542
Superkiller complex protein 8,Q9GZS3
Actin-related protein 8,Q9H981
Tripartite motif-containing protein 59,Q8IWR1
Protein cereblon/Small EDRK-rich factor 2,Q96SW2|P84101
Serine/threonine-protein phosphatase 4 regulatory subunit 3B,Q5MIZ7
WD repeat-containing protein 3,Q9UNX4
RING-type E3 ubiquitin-protein ligase PPIL2,Q13356
Wings apart-like protein homolog,Q7Z5K2
Eukaryotic translation initiation factor 3 subunit C,Q99613
INO80 complex subunit C,Q6PI98
Engulfment and cell motility protein 1,Q92556
Cleavage and polyadenylation specificity factor subunit 2,Q9P2I0
Neurabin-2,Q96SB3
RNA polymerase II elongation factor ELL,P55199
Pescadillo homolog,O00541
Large proline-rich protein BAG6,P46379
Protein cereblon/Zinc finger protein 692,Q96SW2|Q9BU19
Replication termination factor 2,Q9BY42
Desmocollin-1,Q08554
45 kDa calcium-binding protein,Q9BRK5
Biogenesis of lysosome-related organelles complex 1 subunit 5,Q8TDH9
Proton-coupled zinc antiporter SLC30A5,Q8TAD4
Dimethyladenosine transferase 2, mitochondrial,Q9H5Q4
Ubiquilin-1,Q9UMX0
Ubiquitin-fold modifier 1,P61960
