Target,Accessions
Metastasis-associated protein MTA2,O94776
Histone-lysine N-methyltransferase MECOM,Q03112
Integrator complex subunit 9,Q9NV88
DNA polymerase delta subunit 2,P49005
Protein HIRA,P54198
Serpin B10,P48595
Heterogeneous nuclear ribonucleoprotein D-like,O14979
Protein cereblon/Dual specificity mitogen-activated protein kinase kinase 7,O14733|Q96SW2
Peripheral-type benzodiazepine receptor-associated protein 1,O95153
Deaminated glutathione amidase,Q86X76
Cysteine protease ATG4A,Q8WYN0
TATA box-binding protein-associated factor RNA polymerase I subunit B,Q53T94
Pre-mRNA-splicing factor RBM22,Q9NW64
Spliceosome-associated protein CWC27 homolog,Q6UX04
WW domain-binding protein 2,Q969T9
Protein phosphatase 1 regulatory subunit 12A,O14974
Protein FRG1,Q14331
Fatty acid-binding protein 9,Q0Z7S8
von Hippel-Lindau disease tumor suppressor/Son of sevenless homolog 2,P40337|Q07890
Vasoactive intestinal peptide receptor,P41587|P32241|P41586
Voltage-gated potassium channel subunit beta-1,Q14722
Nucleus accumbens-associated protein 1,Q96RE7
Agrin,O00468
Transcription factor JunD,P17535
Low affinity immunoglobulin gamma Fc region receptor II-a,P12318
Cytochrome P450 2W1,Q8TAV3
Small ribosomal subunit protein mS34,P82930
Nucleolar MIF4G domain-containing protein 1,Q5C9Z4
Exportin-4,Q9C0E2
Putative uncharacterized protein ZNF436-AS1,Q8NC38
Zinc finger protein Gfi-1,Q99684
BRD4-interacting chromatin-remodeling complex-associated protein,Q9NZM4
Lymphoid-specific helicase,Q9NRZ9
Nucleolar complex protein 4 homolog,Q9BVI4
Histone H2B type 1-A,Q96A08
von Hippel-Lindau disease tumor suppressor/Son of sevenless homolog 1/GTPase KRas,Q07889|P01116|P40337
Kit ligand,P21583
Peroxisomal membrane protein PMP34,O43808
Cytochrome b-c1 complex subunit 9,Q9UDW1
Baculoviral IAP repeat-containing protein 2/Epidermal growth factor receptor,P00533|Q13490
Transmembrane emp24 domain-containing protein 7,Q9Y3B3
Transmembrane protein 14C,Q9P0S9
Tumor protein D54,O43399
Rho-related GTP-binding protein RhoQ,P17081
TRPC3/TRPC6,Q9Y210|Q13507
Pre-mRNA-splicing regulator WTAP,Q15007
ADP-ribosylation factor-like protein 2,P36404
Gamma-aminobutyric acid receptor subunit alpha-2/beta-3,P28472|P47869
Cell division control protein 6 homolog,Q99741
UV radiation resistance-associated gene protein,Q9P2Y5
Protein cereblon/Cystatin-C,P01034|Q96SW2
Arylsulfatase B,P15848
Transmembrane protein 263,Q8WUH6
Protein fem-1 homolog B/REST corepressor 3,Q9P2K3|Q9UK73
Protein fem-1 homolog B//Mesoderm induction early response protein 1,Q9UK73|Q8N108
Rho-related GTP-binding protein RhoC,P08134
Ras-related protein Rab-2A,P61019
Corticoliberin,P06850
Protein cereblon/Histone-lysine N-methyltransferase NSD3,Q9BZ95|Q96SW2
Protein cereblon/YY1-associated factor 2,Q96SW2|Q8IY57
Protein PRRC2A,P48634
26S proteasome non-ATPase regulatory subunit 5,Q16401
Ribonucleoprotein PTB-binding 1,Q8IY67
von Hippel-Lindau disease tumor suppressor/Mitogen-activated protein kinase kinase kinase 21,P40337|Q5TCX8
High affinity copper uptake protein 1,O15431
Prospero homeobox protein 1,Q92786
Steroidogenic acute regulatory protein, mitochondrial,P49675
Complement factor H,P08603
U1 small nuclear ribonucleoprotein 70 kDa,P08621
Cytochrome b-245 light chain,P13498
Microtubule-associated protein 1 light chain 3 beta/Polycomb protein SUZ12,Q15022|Q9GZQ8
Vesicle transport protein USE1,Q9NZ43
Small ribosomal subunit protein uS9m,P82933
Large ribosomal subunit protein eL19,P84098
FYN-binding protein 1,O15117
NADH-ubiquinone oxidoreductase 42 kDa subunit,O95299
Transcription factor EB,P19484
ADP-ribosyltransferase,P52961
Sodium-dependent multivitamin transporter,Q9Y289
SS18-like protein 2,Q9UHA2
Transcription elongation factor A protein 1,P23193
Glutathione hydrolase 7,Q9UJ14
Lys-63-specific deubiquitinase BRCC36,P46736
Flotillin-1,O75955
Protein fem-1 homolog B//Paired amphipathic helix protein Sin3a,Q9UK73|Q96ST3
Apoptosis inhibitor 5,Q9BZZ5
ATPase GET3,O43681
Protein SEC13 homolog,P55735
BTB/POZ domain-containing protein KCTD11,Q693B1
DNA-directed RNA polymerases I, II, and III subunit RPABC5,P62875
UBR/Epidermal growth factor receptor,P00533|Q5T4S7|Q8IWV7|Q8IWV8
